projectId	number	author	createdAt	labels	title	title_numberOfWords	body	body_numberOfWords
8514	3	niquola	2009-04-28T12:01:59.000Z	[actionpack]	status 500 internal-server-error private method split called for mime type in	11	when request with headers accept application json application javascript content-type application json x-requested-with xmlhttprequest we get on server status 500 internal-server-error private method split called for # mime type 0xb743a2a8 usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller mime type.rb 206 in method-missing usr lib rubygems 1.8 gems rack-1.0.0 lib rack request.rb 51 in media-type usr lib rubygems 1.8 gems rack-1.0.0 lib rack request.rb 117 in parseable data usr lib rubygems 1.8 gems rack-1.0.0 lib rack request.rb 138 in post usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller request.rb 428 in request parameters usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller request.rb 381 in parameters usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller base.rb 1279 in assign shortcuts usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller base.rb 518 in process without filters usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller filters.rb 606 in sass old process usr lib rubygems 1.8 gems haml-2.0.9 libsass plugin rails.rb 19 in process usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller rescue.rb 65 in call with exception usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller dispatcher.rb 91 in dispatch usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller dispatcher.rb 111 in call usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller dispatcher.rb 82 in initialize usr lib rubygems 1.8 gems activerecord-2.3.2 lib active-record-query cache.rb 29 in call usr lib rubygems 1.8 gems activerecord-2.3.2 lib active-record-query cache.rb 29 in call usr lib rubygems 1.8 gems activerecord-2.3.2 lib activerecord connection adapters abstract query cache.rb 34 in cache usr lib rubygems 1.8 gems activerecord-2.3.2 lib active-record-query cache.rb 9 in cache usr lib rubygems 1.8 gems activerecord-2.3.2 lib active-record-query cache.rb 28 in call usr lib rubygems 1.8 gems activerecord-2.3.2 lib activerecord connection adapters abstract connection pool.rb 361 in call usr lib rubygems 1.8 gems rack-1.0.0 lib rack head.rb 9 in call usr lib rubygems 1.8 gems rack-1.0.0 lib rack methodoverride.rb 24 in call usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller params parser.rb 15 in call usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller rewindable input.rb 25 in call usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller session cookie store.rb 93 in call usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller reloader.rb 9 in call usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller failsafe.rb 11 in call usr lib rubygems 1.8 gems rack-1.0.0 lib rack lock.rb 11 in call usr lib rubygems 1.8 gems rack-1.0.0 lib rack lock.rb 11 in synchronize usr lib rubygems 1.8 gems rack-1.0.0 lib rack lock.rb 11 in call usr lib rubygems 1.8 gems actionpack-2.3.2 lib actioncontroller dispatcher.rb 106 in call usr lib rubygems 1.8 gems rails-2.3.2 lib rails rack static.rb 31 in call usr lib rubygems 1.8 gems rack-1.0.0 lib rack urlmap.rb 46 in call usr lib rubygems 1.8 gems rack-1.0.0 lib rack urlmap.rb 40 in each usr lib rubygems 1.8 gems rack-1.0.0 lib rack urlmap.rb 40 in call usr lib rubygems 1.8 gems rails-2.3.2 lib rails rack log tailer.rb 17 in call usr lib rubygems 1.8 gems rack-1.0.0 lib rack content length.rb 13 in call usr lib rubygems 1.8 gems rack-1.0.0 lib rack chunked.rb 15 in call usr lib rubygems 1.8 gems rack-1.0.0 lib rack handler mongrel.rb 61 in process usr lib rubygems 1.8 gems mongrel-1.1.5 lib mongrel.rb 159 in process client usr lib rubygems 1.8 gems mongrel-1.1.5 lib mongrel.rb 158 in each usr lib rubygems 1.8 gems mongrel-1.1.5 lib mongrel.rb 158 in process client usr lib rubygems 1.8 gems mongrel-1.1.5 lib mongrel.rb 285 in run usr lib rubygems 1.8 gems mongrel-1.1.5 lib mongrel.rb 285 in initialize usr lib rubygems 1.8 gems mongrel-1.1.5 lib mongrel.rb 285 in new usr lib rubygems 1.8 gems mongrel-1.1.5 lib mongrel.rb 285 in run usr lib rubygems 1.8 gems mongrel-1.1.5 lib mongrel.rb 268 in initialize usr lib rubygems 1.8 gems mongrel-1.1.5 lib mongrel.rb 268 in new usr lib rubygems 1.8 gems mongrel-1.1.5 lib mongrel.rb 268 in run usr lib rubygems 1.8 gems rack-1.0.0 lib rack handler mongrel.rb 34 in run usr lib rubygems 1.8 gems rails-2.3.2 lib commands server.rb 111 usr locallib site ruby-1.8 rubygems custom require.rb 31 in gem original require usr locallib site ruby-1.8 rubygems custom require.rb 31 in require script server 3	685
507775	2	kimchy	2010-02-10T22:10:55.000Z	[feature;;v0.05.0]	discovery support local jvm level discovery	6	allow to have a jvm well actually classloader level discovery for simple testing embedding of a single node which potentially exists with other nodes in the same classloader . enable it using discovery type local or using node local true which will also enable other modules to be local such as the transport - once we have that...	58
507775	3	kimchy	2010-02-11T17:28:41.000Z	[feature;;v0.05.0]	transport support local jvm level transport	6	allow to have a jvm well actually classloader level transport for simple testing embedding of a single node which potentially exists with other nodes in the same classloader . enable it using transport type local or using node local true which will also enable other modules to be local such as the discovery	53
507775	4	simonw	2010-02-11T17:51:37.000Z	[]	any plans to add geospatial search	6	it would be incredibly useful to be able to index documents with latitude-longitude positions and run searches that return results ordered by distance from a specific latitude-longitude point	28
507775	12	kimchy	2010-02-15T08:23:23.000Z	[enhancement;;v0.05.0]	create mapping api automatically create indices	6	in a similar manner that the index operation automatically create the index the mapping api should do the same this can be disable using the setting action.autocreateindex .	28
507775	17	kimchy	2010-02-16T08:17:46.000Z	[enhancement;;v0.05.0]	count api also accepts count uri to search over all indices	11	you can do it now with all count but its nicer to just do count	15
507775	18	hubgit	2010-02-16T13:23:02.000Z	[docs]	documentation error object-type mapping json	5	in http://www.elasticsearch.com docs elasticsearch-mapping object-type there are a few occurrences of type object which should be type object	18
507775	21	kimchy	2010-02-16T19:47:05.000Z	[feature;;v0.05.0]	terms api allow to get terms for one or more field	11	getting terms from one or more indices and their document frequency the number of time those terms appear in a document is very handy for example implementing tag clouds or providing basic autosuggest search-box there should be several options for this api including sorting by term lex or doc freq bounding size from to inclusive or not minmax freq prefix and regexp filtering the rest api should be index terms	70
507775	23	kimchy	2010-02-17T17:48:51.000Z	[feature;;v0.05.0]	search api set different boost for indices when searching across indices	11	have the ability to set different boost values per index when searching across indices this comes in handy for example when each twitter user has an index and his friends count more than the rest of the indices the parameter is a url parameter called indicesboost and for example indicesboost indexname1 2 indexname2 3.1	54
507775	24	clintongormley	2010-02-18T12:05:16.000Z	[bug;;v0.05.0]	changing fieldtype with create mapping just hides the error	9	easier to give an example than to explain - on a new cluster ie no indices no mappings - index a document with eg foo 123 # sets type of foo to int - index a doc with foo bar # throws an error - create a mapping and set foo s type to string - index the doc with foo bar # ok - search for term foo 123 # 1 hit - search for term foo bar # no hits so setting the mapping doesn t change the type of foo it just hides the error message later on this seems inconsistent to me - it should either change the type of foo going forward or throw an error when you try to change the type with create mapping logfile follows curl -xput http://127.0.0.2 9200 twitter tweet 1 -d foo 123 # # ok true # index twitter # id 1 # type tweet # curl -xput http://127.0.0.2 9200 twitter tweet 2 -d foo bar # # debug # at # classname java.lang.thread # methodname run # filename thread.java # linenumber 619 # # cause # at # classname java.lang.thread # methodname run # filename thread.java # linenumber 619 # # message current token value string not numeric c # an not use numeric value accessors n at source n # # message index twitter shard 1 # # error index twitter shard 1 nested failed to parse # nested current token value string not numeric can not use # curl -xput http://127.0.0.2 9200 all tweet mapping -d properties foo type string # # ok true # curl -xput http://127.0.0.2 9200 twitter tweet 2 -d foo bar # # ok true # index twitter # id 2 # type tweet # curl -xget http://127.0.0.2 9200 twitter tweet search -d query term foo 123 # # hits # hits # total 0 # # shards # failed 0 # successful 5 # total 5 # # curl -xget http://127.0.0.2 9200 twitter tweet search -d query term foo bar # # hits # hits # total 0 # # shards # failed 5 # successful 0 # total 5 # #	361
