projectId	number	author	createdAt	labels	title	title_numberOfWords	body	body_numberOfWords
8514	3	niquola	2009-04-28T12:01:59.000Z	[actionpack]	status internal-server-error private split mime	11	request json javascript content-type json xmlhttprequest get server status internal-server-error private split mime rubygems actioncontroller mime method-missing rubygems rack media-type rubygems rack rubygems rack post rubygems actioncontroller request parameters rubygems actioncontroller parameters rubygems actioncontroller assign shortcuts rubygems actioncontroller process rubygems actioncontroller sass process rubygems libsass process rubygems actioncontroller call exception rubygems actioncontroller dispatch rubygems actioncontroller call rubygems actioncontroller rubygems active-record-query call rubygems active-record-query call rubygems activerecord connection abstract rubygems active-record-query rubygems active-record-query call rubygems activerecord connection abstract connection call rubygems rack call rubygems rack call rubygems actioncontroller params call rubygems actioncontroller call rubygems actioncontroller session call rubygems actioncontroller call rubygems actioncontroller call rubygems rack call rubygems rack synchronize rubygems rack call rubygems actioncontroller call rubygems rack call rubygems rack call rubygems rack each rubygems rack call rubygems rack call rubygems rack call rubygems rack call rubygems rack handler process rubygems process client rubygems each rubygems process client rubygems rubygems rubygems rubygems rubygems rubygems rubygems rubygems rack handler rubygems locallib ruby-1.8 rubygems gem require locallib ruby-1.8 rubygems require server	685
507775	1	kimchy	2010-02-09T20:08:08.000Z	[enhancement;;v0.05.0]	querydsl filter	3	filter which configure term field term filter	27
507775	2	kimchy	2010-02-10T22:10:55.000Z	[feature;;v0.05.0]	discovery local jvm level discovery	6	jvm classloader level discovery testing embedding which exists nodes classloader using discovery local using local which local transport	58
507775	3	kimchy	2010-02-11T17:28:41.000Z	[feature;;v0.05.0]	transport local jvm level transport	6	jvm classloader level transport testing embedding which exists nodes classloader using transport local using local which local discovery	53
507775	4	simonw	2010-02-11T17:51:37.000Z	[]	any add geospatial search	6	documents latitude-longitude return distance latitude-longitude point	28
507775	5	simonw	2010-02-11T17:52:36.000Z	[]	any	5	solr elasticsearch any point	23
507775	6	kimchy	2010-02-12T13:20:07.000Z	[enhancement;;v0.05.0]	querydsl filter json	8	json uses field jsonobject like this json uses field jsonobject like this	108
507775	7	kimchy	2010-02-12T16:08:42.000Z	[enhancement;;v0.05.0]	discovery jgroups upgrade	5	upgrade jgroups release	10
507775	8	kimchy	2010-02-13T21:43:11.000Z	[enhancement;;v0.05.0]	http rest api http chunks	8	messages http clients this client-side chunked http messages	30
507775	9	kimchy	2010-02-14T18:32:46.000Z	[feature;;v0.05.0]	api indices	7	indices segments	16
507775	10	clintongormley	2010-02-14T19:15:10.000Z	[enhancement;;v0.05.0]	http listeners	3	can find out tell http like http nodes was can find out which nodes nodes words clients main which listeners nodes spread load between nodes client list nodes can clint	132
507775	11	clintongormley	2010-02-14T23:10:38.000Z	[docs]	mapping	3	curl twitter properties message string store handler uri twitter put json format mapping use indexing document ambiguous curl twitter user message out elasticsearch mean document mapping mapping toplevel key mapping mapping clint	141
507775	12	kimchy	2010-02-15T08:23:23.000Z	[enhancement;;v0.05.0]	mapping api indices	6	operation mapping api this can using setting	28
507775	13	kimchy	2010-02-15T08:26:46.000Z	[enhancement;;v0.05.0]	search api exists jsonobject	10	search response wrapper jsonobject json object wrap	26
507775	14	kimchy	2010-02-15T21:35:10.000Z	[enhancement;;v0.05.0]	flush api add refresh refresh flush	8	add refresh http refresh boolean controlling refresh flush defaults refresh	28
507775	15	kimchy	2010-02-15T21:54:16.000Z	[enhancement;;v0.05.0]	api add flush refresh parameters	8	optimization defaults flush flush optimization defaults refresh refresh optimization defaults	36
507775	16	kimchy	2010-02-16T08:15:13.000Z	[enhancement;;v0.05.0]	search api search uri search indices	11	can search nice search	17
507775	17	kimchy	2010-02-16T08:17:46.000Z	[enhancement;;v0.05.0]	count api count uri search indices	11	can count count	15
507775	18	hubgit	2010-02-16T13:23:02.000Z	[docs]	documentation object-type mapping json	5	elasticsearch-mapping object-type object which object	18
507775	19	clintongormley	2010-02-16T17:25:30.000Z	[bug;;v0.05.0]	flush indices	7	flush indices connection	13
507775	20	clintongormley	2010-02-16T17:29:45.000Z	[]	flush	7	default server bin elasticsearch flush	35
507775	21	kimchy	2010-02-16T19:47:05.000Z	[feature;;v0.05.0]	api get field	11	indices document frequency time document basic autosuggest search-box options this api sorting term lex doc bounding size minmax prefix filtering rest api	70
507775	22	kimchy	2010-02-17T11:08:50.000Z	[enhancement;;v0.05.0]	merge bytebuffer memory memory store options	11	bytebuffer store user internals java directmemory allocation jvm heap memory store option location which can either heap default this mean was use bytebuffer break memory	79
507775	23	kimchy	2010-02-17T17:48:51.000Z	[feature;;v0.05.0]	search api set boost indices indices	11	set boost indices this each twitter user count rest indices url	54
507775	24	clintongormley	2010-02-18T12:05:16.000Z	[bug;;v0.05.0]	fieldtype mapping	9	explain indices mappings document int doc throws mapping set string doc search term hit search term setting mapping message this either forward throw mapping logfile curl twitter twitter curl twitter classname classname message token value string numeric use numeric value message twitter twitter nested nested token value string numeric can use curl mapping properties string curl twitter twitter curl twitter search term curl twitter search term	361
507775	25	clintongormley	2010-02-18T14:17:52.000Z	[bug;;v0.05.0]	 	5	test-suite against localserver bin elasticsearch flush indices flush flush refresh block action complete ready clint bin elasticsearch info server elasticsearch initializing info server elasticsearch info server elasticsearch info transport inet inet send buffer was set this lead performance set max send buffer max linux buffer was set this lead performance set max buffer max linux send buffer was set this lead performance set max send buffer max linux buffer was set this lead performance set max buffer max linux info master inet info discovery elasticsearch info http inet inet info jmx service jmx rmi jndi rmi service jmx rmi jndi rmi info server elasticsearch info info exception elasticsearch exception elasticsearch exception elasticsearch curl nodes elasticsearch nodes inet inet curl curl flush curl curl status classname message	639
507775	26	clintongormley	2010-02-18T16:44:02.000Z	[enhancement;;v0.05.0]	 	6	boolean parameters explain any value dynamic-languages user boolean json clint	38
507775	27	clintongormley	2010-02-19T16:11:43.000Z	[bug;;v0.05.0]	jsonobject properties	5	like parsing json stream where position parsing instance this curl search term text filter range this curl search filter range term text json which rules out having names clint json	99
507775	28	clintongormley	2010-02-19T17:56:37.000Z	[bug;;v0.05.0]	facet	5	indices add documents get final facets nodes balloons memory this max java nodes throws like facets curl nodes elasticsearch nodes inet inet inet inet super sabre inet inet shadow curl curl curl flush refresh curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl flush refresh curl search text text text text text text text text text text curl search size text text text text text text text text text text text text text text text text text text text text text text text text text text text text curl search fetch text text text text text text text text text text curl search fetch text text text text text text text text text text text text text text text text text text text text text text text text text text text text curl search term text text text text text text text text text text text curl search text text text text text text text text text text text curl search text facets term text term text server connection any back info server super sabre elasticsearch info server super sabre elasticsearch super sabre recovery shadow inet super sabre inet super sabre recovery shadow inet super sabre inet super sabre recovery shadow inet super sabre inet super sabre initializing super sabre initializing super sabre recovery shadow inet super sabre inet super sabre initializing super sabre recovery shadow inet super sabre inet super sabre recovery shadow inet super sabre inet	4438
507775	29	clintongormley	2010-02-19T18:51:14.000Z	[bug;;v0.05.0]	nodes	7	insert documents get wait flush refresh get totals default get nodes clint	71
507775	30	clintongormley	2010-02-19T19:08:11.000Z	[enhancement;;v0.05.0]	object	8	json take order account object instance reverse user equivalent user reverse this syntax user reverse clint	45
507775	31	clintongormley	2010-02-19T20:09:27.000Z	[bug;;v0.05.0]	sorting field integer types	17	indices mapping which integer store documents integer search indices types sorting server curl nodes curl curl curl flush refresh curl curl curl mapping properties integer text string curl flush refresh curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl flush refresh curl search	613
507775	32	clintongormley	2010-02-19T20:14:28.000Z	[bug;;v0.05.0]	sorting textfield	5	textfield response explicit mapping search curl nodes curl curl curl flush refresh curl curl curl flush refresh curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl flush refresh curl search text	575
507775	33	kimchy	2010-02-19T23:50:24.000Z	[enhancement;;v0.05.0]	boolean string value	12	explicit boolean json string any string any string boolean defined defined string string	61
507775	34	kimchy	2010-02-21T20:56:27.000Z	[feature;;v0.05.0]	mapping user-friendly	7	mapping definitions mapping definitions duplicates ignore put mapping api http param set duplicates refer field mapping object mapping checked mappings definitions mapping mappings point document indexed updated mapping this fact was this mapping updated master which nodes types	116
507775	35	clintongormley	2010-02-22T16:21:53.000Z	[]	mapping	4	put mapping text mappings mapping text mappings mapping text mappings mapping put mapping properties string mappings mapping put mapping properties string mappings mapping put mapping properties string mappings mapping curl text server mapping dynamic object dynamic boost properties string store boost object dynamic boost properties string store boost curl text server mapping dynamic object dynamic boost properties string store boost object dynamic boost properties string store boost	326
507775	36	kimchy	2010-02-22T18:07:56.000Z	[enhancement;;v0.05.0]	gateway store metadata json binary	9	compatibility this break compatibility	19
507775	37	clintongormley	2010-02-22T19:05:36.000Z	[]	 	3	nice prefix document	26
507775	38	clintongormley	2010-02-22T21:02:37.000Z	[bug;;v0.05.0]	between	8	against nodes get reason nested thumb tom inet indices nested server this server nodes diff between bin bash curl curl curl mapping properties store integer text store string curl mapping properties store integer text store string curl flush refresh sleep curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl flush refresh sleep curl text curl flush refresh echo curl text curl text echo curl text curl text echo curl text curl text echo curl text curl text echo curl size text curl size text echo curl text curl text echo curl text curl text echo curl text curl text echo curl text curl text echo curl text curl text echo curl text prefix curl text prefix echo curl text curl text echo kill server nodes enter curl curl curl mapping properties store integer text store string curl mapping properties store integer text store string curl flush refresh sleep curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl text curl flush refresh sleep curl text curl flush refresh echo curl text curl text echo curl text curl text echo curl text curl text echo curl text curl text echo curl size text curl size text echo curl text curl text echo curl text curl text echo curl text curl text echo curl text curl text echo curl text curl text echo curl text prefix curl text prefix echo curl text curl text echo diff diff	1922
507775	39	clintongormley	2010-02-22T21:20:51.000Z	[bug;;v0.05.0]	mapping throws	8	nodes mapping throw out recover this watch server bin bash curl nodes curl curl mapping properties integer text string curl mapping properties integer text string curl mapping properties integer text string curl curl curl curl curl mapping properties store integer text store string curl mapping properties store integer text store string curl flush refresh	208
507775	40	sbtourist	2010-02-23T18:01:12.000Z	[bug]	exception embedded nodes	8	embedded nodes connect get messages embedded nodes elasticsearch message table view jgroups which ipv6 ipv4 embedded instances proper ipv6 can fixed embedded forcing use ipv4 forcing jgroups take proper default	122
507775	41	kimchy	2010-02-24T12:27:03.000Z	[enhancement;;v0.05.0]	querydsl string	8	add option dsl query-string which default	18
507775	42	kimchy	2010-02-24T21:14:51.000Z	[feature;;v0.05.0]	api	15	using api which state indices status api wait state	46
507775	43	kimchy	2010-02-26T01:28:02.000Z	[feature;;v0.05.0]	querydsl morelikethis	3	add morelikethis mlt morelikethis find documents like text against field morelikethis morelikethis parameters ref next release mlt lucene difference between morelikethis field can typed filter	111
507775	44	kimchy	2010-02-26T12:43:42.000Z	[enhancement;;v0.05.0]	 	4	documents match this can booleanquery clause query-string	28
1295197	371	nafg	2010-02-26T15:58:03.000Z	[mapper;;p:normal;;t:defect]	call apply	7	 	0
507775	45	kimchy	2010-02-27T01:20:38.000Z	[feature;;v0.05.0]	morelikethis api search documents like document	10	uri morelikethis get post search request mlt using mlt querydsl mlt parameters http-parameters request can include search request facets size	51
