id	name	description	description_numberOfWords	mainLanguagesPercentages	[language^linesOfCode;;...]	bugs'StartingDate	commits'StartingDate	PRs'StartingDate	bugComments'StartingDate	commitComments'StartingDate	PRComments'StartingDate	bugEvents'StartingDate	overalStartingDate
8514	rails/rails	ruby-on-rails	3	[ruby^98]	[ruby^10406330;;html^193539;;css^33470;;coffeescript^15966;;javascript^9031;;yacc^965]	2009-04-01T04:24:23.000Z	2004-11-24T01:04:44.000Z	2010-09-02T05:34:17.000Z	2009-04-16T23:00:57.000Z	2008-04-11T09:36:30.000Z	2010-09-09T06:44:25.000Z	2011-04-28T00:12:53.000Z	2004-11-24T01:04:44.000Z
85670	yui/yui3	yui yui3 building interactive web-applications	10	[javascript^98]	[javascript^22196596;;css^431868;;php^10229;;shell^1641]	2013-01-24T20:32:28.000Z	2007-10-10T23:52:51.000Z	2010-09-10T11:07:05.000Z	2013-01-24T20:43:57.000Z	2009-03-06T07:42:18.000Z	2010-09-10T12:48:36.000Z	2013-01-24T20:43:57.000Z	2007-10-10T23:52:51.000Z
1295197	lift/framework	lift lift	5	[scala^86]	[scala^3466088;;javascript^426267;;java^50789;;css^48107;;html^21138;;shell^10149;;batchfile^1119]	2009-04-17T06:39:53.000Z	2009-12-19T19:13:39.000Z	2010-11-23T08:31:46.000Z	2009-04-17T06:44:13.000Z	2011-03-09T03:03:09.000Z	2011-01-18T07:29:45.000Z	2012-02-14T22:19:02.000Z	2009-04-17T06:44:13.000Z
203666	fog/fog	fog ruby cloud	7	[ruby^100]	[ruby^2612019;;shell^562]	2009-11-27T18:56:14.000Z	2009-05-18T07:13:06.000Z	2010-09-10T21:19:15.000Z	2009-11-27T23:45:21.000Z	2010-04-26T00:31:23.000Z	2010-09-11T00:17:35.000Z	2011-03-18T22:34:26.000Z	2009-05-18T07:13:06.000Z
1644196	julialang/julia	language	12	[julia^66;;c^19]	[julia^6327034;;c^1789100;;c++^843632;;scheme^367319;;makefile^73722;;clojure^34608;;shell^31103;;matlab^19440;;java^12875;;fortran^11602;;javascript^10794;;pawn^6931;;assembly^6887;;scala^6655;;go^6123;;ruby^5744;;mathematica^5467;;objective-c^5441;;lua^4729;;nsis^4708;;python^4658;;stata^4577;;autohotkey^4482;;r^3407;;perl^2834;;applescript^178;;gdb^76]	2011-04-27T03:52:59.000Z	2009-08-23T03:39:06.000Z	2011-11-26T05:43:16.000Z	2011-05-03T05:35:45.000Z	2011-04-23T20:24:28.000Z	2011-11-27T22:02:59.000Z	2011-04-27T03:52:59.000Z	2009-08-23T03:39:06.000Z
460078	angular/angular.js	html web	8	[javascript^98]	[javascript^6544322;;html^74791;;shell^20358;;postscript^19551;;php^7222;;css^3738]	2010-09-02T15:58:28.000Z	2010-01-06T00:36:58.000Z	2010-09-08T15:59:32.000Z	2010-09-21T16:39:06.000Z	2010-02-02T05:40:20.000Z	2010-09-14T21:16:28.000Z	2011-03-21T20:20:40.000Z	2010-01-06T00:36:58.000Z
507775	elastic/elasticsearch	elasticsearch open-source distributed search-engine	7	[java^99]	[java^38647877;;groovy^269282;;shell^105108;;python^52711;;batchfile^13128;;antlr^10561;;perl^7271;;html^3397;;emacs lisp^3341;;freemarker^45]	2010-02-09T20:08:08.000Z	2010-02-08T13:22:27.000Z	2010-09-04T20:02:22.000Z	2010-02-09T20:19:00.000Z	2010-04-05T11:11:38.000Z	2010-09-05T17:46:19.000Z	2011-03-17T14:38:00.000Z	2010-02-08T13:22:27.000Z
1420493	travis-ci/travis-ci	travis-ci free continuous-integration platform github projects	8	[]	[]	2011-03-06T15:36:33.000Z	2010-11-28T19:54:27.000Z	2011-02-28T11:42:24.000Z	2011-03-29T12:52:19.000Z	2011-04-09T19:21:40.000Z	2011-02-28T13:58:57.000Z	2011-03-24T07:45:27.000Z	2010-11-28T19:54:27.000Z
1390248	saltstack/salt	salt configuration any infrastructure scale get access salt package repository	27	[python^98]	[python^23453874;;shell^417177;;nsis^59252;;saltstack^31331;;html^25197;;powershell^19911;;batchfile^9859;;tcl^5419;;scheme^895;;makefile^713;;c^493;;groff^4]	2011-03-10T15:33:20.000Z	2011-02-20T20:18:32.000Z	2011-05-23T18:34:24.000Z	2011-03-10T15:41:08.000Z	2011-05-24T11:28:02.000Z	2011-05-24T20:36:50.000Z	2011-03-17T19:25:30.000Z	2011-02-20T20:18:32.000Z
1723225	khan/khan-exercises	deprecated building khan-academy	13	[html^60;;javascript^32]	[html^4117492;;javascript^2174292;;css^508314;;python^94187;;shell^3398;;makefile^1361;;ruby^733]	2011-05-16T19:41:02.000Z	2011-05-09T21:07:04.000Z	2011-05-17T20:23:24.000Z	2011-05-17T21:26:43.000Z	2011-05-25T23:02:52.000Z	2011-05-17T20:23:39.000Z	2011-05-16T19:41:02.000Z	2011-05-09T21:07:04.000Z
2935735	adobe/brackets	adobe-brackets code-editor web javascript html css	15	[javascript^83]	[javascript^12351540;;html^2062257;;css^388905;;php^28796;;ruby^9040;;shell^8726;;makefile^2186;;clojure^28]	2011-12-13T06:20:12.000Z	2011-12-07T21:20:16.000Z	2011-12-08T18:46:22.000Z	2011-12-17T00:23:26.000Z	2011-12-08T18:48:34.000Z	2011-12-15T00:38:08.000Z	2011-12-13T06:20:12.000Z	2011-12-07T21:20:16.000Z
5238231	html5rocks/www.html5rocks.com	web	9	[html^63;;javascript^33]	[html^16029581;;javascript^8435887;;python^613187;;css^434385;;coffeescript^55586;;shell^23146;;makefile^2110;;php^896;;ruby^212;;batchfile^42]	2012-07-31T18:43:54.000Z	2012-07-30T21:35:17.000Z	2012-08-01T03:29:14.000Z	2012-08-02T02:52:35.000Z	2012-08-10T20:27:51.000Z	2012-08-02T02:55:20.000Z	2012-07-31T18:43:54.000Z	2012-07-30T21:35:17.000Z
9852918	tryghost/ghost	ghost publishing platform	8	[javascript^94]	[javascript^2566256;;html^162562;;xslt^7177]	2013-05-07T17:56:54.000Z	2013-05-04T11:09:13.000Z	2013-05-12T13:49:35.000Z	2013-05-08T17:43:05.000Z	2013-05-23T12:45:49.000Z	2013-05-12T19:17:24.000Z	2013-05-07T18:01:16.000Z	2013-05-04T11:09:13.000Z
