project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	19	Sat Dec 17 01:54:22 MST 2011	peterflynn	65	853	peterflynn
adobe/brackets	21	Tue Dec 20 20:34:43 MST 2011	gruehle	130	853	gruehle
adobe/brackets	31	Wed Dec 21 01:23:36 MST 2011	gruehle	2	853	gruehle
adobe/brackets	32	Wed Dec 21 18:59:13 MST 2011	gruehle	1	853	gruehle
adobe/brackets	41	Wed Jan 04 18:42:45 MST 2012	chrisbank	267	853	chrisbank
adobe/brackets	29	Wed Jan 11 18:05:54 MST 2012	tvoliter	606	853	tvoliter
adobe/brackets	68	Wed Jan 11 18:13:08 MST 2012	njx	498	853	njx
adobe/brackets	56	Wed Jan 11 20:00:23 MST 2012	gruehle	1	853	gruehle
adobe/brackets	63	Wed Jan 11 23:41:04 MST 2012	njx	4	853	njx
adobe/brackets	67	Thu Jan 12 00:37:01 MST 2012	njx	1	853	njx
adobe/brackets	50	Thu Jan 12 01:01:14 MST 2012	joelrbrandt	56	853	joelrbrandt
adobe/brackets	65	Fri Jan 13 23:20:58 MST 2012	jasonsanjose	281	853	jasonsanjose
adobe/brackets	64	Mon Jan 16 18:43:26 MST 2012	njx	2	853	njx
adobe/brackets	87	Mon Jan 16 23:08:13 MST 2012	peterflynn	7	853	peterflynn
adobe/brackets	86	Mon Jan 16 23:09:46 MST 2012	peterflynn	2	853	peterflynn
adobe/brackets	43	Tue Jan 17 19:42:51 MST 2012	jasonsanjose	5	853	jasonsanjose
adobe/brackets	80	Tue Jan 17 20:40:27 MST 2012	jasonsanjose	1	853	jasonsanjose
adobe/brackets	85	Thu Jan 19 02:17:53 MST 2012	tvoliter	5	853	tvoliter
adobe/brackets	72	Thu Jan 19 18:36:03 MST 2012	njx	3	853	njx
adobe/brackets	79	Thu Jan 19 18:39:43 MST 2012	redmunds	688	853	redmunds
adobe/brackets	26	Thu Jan 19 19:29:25 MST 2012	jasonsanjose	2	853	jasonsanjose
adobe/brackets	52	Thu Jan 19 22:40:43 MST 2012	peterflynn	6	853	peterflynn
adobe/brackets	60	Thu Jan 19 22:47:26 MST 2012	peterflynn	1	853	peterflynn
adobe/brackets	49	Thu Jan 19 23:04:01 MST 2012	peterflynn	1	853	peterflynn
adobe/brackets	77	Thu Jan 19 23:16:13 MST 2012	peterflynn	1	853	peterflynn
adobe/brackets	84	Fri Jan 20 01:18:18 MST 2012	njx	4	853	njx
adobe/brackets	84	Fri Jan 20 03:18:54 MST 2012	njx	1	853	njx
adobe/brackets	109	Fri Jan 20 18:08:33 MST 2012	jasonsanjose	3	853	jasonsanjose
adobe/brackets	121	Sat Jan 21 17:45:56 MST 2012	redmunds	6	853	redmunds
adobe/brackets	122	Sun Jan 22 00:14:21 MST 2012	tvoliter	6	853	tvoliter
adobe/brackets	30	Sun Jan 22 01:15:29 MST 2012	redmunds	3	853	redmunds
adobe/brackets	84	Sun Jan 22 21:29:38 MST 2012	njx	1	853	njx, joelrbrandt
adobe/brackets	112	Sun Jan 22 21:31:32 MST 2012	joelrbrandt	1	853	joelrbrandt
adobe/brackets	140	Fri Jan 27 00:55:09 MST 2012	tvoliter	3	853	tvoliter
adobe/brackets	153	Fri Jan 27 20:14:28 MST 2012	peterflynn	4	853	peterflynn
adobe/brackets	132	Fri Jan 27 21:42:40 MST 2012	joelrbrandt	1	853	joelrbrandt
adobe/brackets	130	Fri Jan 27 21:42:59 MST 2012	joelrbrandt	2	853	joelrbrandt
adobe/brackets	98	Sat Jan 28 00:58:38 MST 2012	peterflynn	1	853	peterflynn
adobe/brackets	152	Sat Jan 28 01:21:51 MST 2012	njx	3	853	njx
adobe/brackets	148	Mon Jan 30 19:59:01 MST 2012	jasonsanjose	6	853	jasonsanjose
adobe/brackets	153	Tue Jan 31 19:37:45 MST 2012	peterflynn	1	853	peterflynn, njx
