project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	6	Tue Dec 13 06:20:12 MST 2011	tvoliter	21	330	tvoliter
adobe/brackets	19	Fri Dec 16 23:26:26 MST 2011	peterflynn	192	330	peterflynn
adobe/brackets	31	Wed Dec 21 00:06:31 MST 2011	gruehle	268	330	gruehle
adobe/brackets	32	Wed Dec 21 00:06:46 MST 2011	gruehle	1	330	gruehle
adobe/brackets	29	Wed Dec 21 01:29:42 MST 2011	tvoliter	3	330	tvoliter
adobe/brackets	29	Wed Dec 21 16:07:47 MST 2011	tvoliter	1	330	tvoliter, chrisbank
adobe/brackets	41	Wed Dec 21 23:52:50 MST 2011	tvoliter	2	330	tvoliter
adobe/brackets	18	Wed Jan 04 18:22:22 MST 2012	peterflynn	4	330	peterflynn
adobe/brackets	30	Wed Jan 04 18:23:47 MST 2012	njx	243	330	njx
adobe/brackets	30	Wed Jan 04 18:24:31 MST 2012	njx	1	330	peterflynn, njx
adobe/brackets	38	Wed Jan 04 18:26:17 MST 2012	njx	2	330	njx
adobe/brackets	26	Wed Jan 04 18:35:43 MST 2012	gruehle	3	330	gruehle
adobe/brackets	43	Wed Jan 04 19:38:06 MST 2012	peterflynn	1	330	peterflynn
adobe/brackets	49	Sat Jan 07 00:38:31 MST 2012	gruehle	2	330	gruehle
adobe/brackets	50	Sat Jan 07 01:11:49 MST 2012	njx	5	330	njx
adobe/brackets	51	Sat Jan 07 01:40:03 MST 2012	peterflynn	4	330	peterflynn
adobe/brackets	56	Mon Jan 09 22:04:38 MST 2012	joelrbrandt	226	330	joelrbrandt
adobe/brackets	56	Mon Jan 09 22:32:52 MST 2012	joelrbrandt	1	330	gruehle, joelrbrandt
adobe/brackets	60	Tue Jan 10 19:12:30 MST 2012	gruehle	1	330	gruehle
adobe/brackets	63	Tue Jan 10 23:49:25 MST 2012	njx	2	330	njx
adobe/brackets	65	Wed Jan 11 01:57:37 MST 2012	jasonsanjose	78	330	jasonsanjose
adobe/brackets	52	Wed Jan 11 02:06:56 MST 2012	jasonsanjose	6	330	jasonsanjose
adobe/brackets	67	Wed Jan 11 03:00:17 MST 2012	njx	3	330	njx
adobe/brackets	68	Wed Jan 11 03:01:01 MST 2012	peterflynn	4	330	peterflynn
adobe/brackets	72	Wed Jan 11 23:12:01 MST 2012	peterflynn	1	330	peterflynn
adobe/brackets	50	Thu Jan 12 00:37:27 MST 2012	njx	2	330	njx, joelrbrandt
adobe/brackets	49	Thu Jan 12 00:40:09 MST 2012	gruehle	1	330	peterflynn, gruehle
adobe/brackets	60	Thu Jan 12 21:15:09 MST 2012	peterflynn	1	330	peterflynn, gruehle
adobe/brackets	77	Fri Jan 13 18:30:00 MST 2012	jasonsanjose	6	330	jasonsanjose
adobe/brackets	85	Sat Jan 14 00:21:16 MST 2012	jasonsanjose	2	330	jasonsanjose
adobe/brackets	85	Sat Jan 14 00:39:03 MST 2012	jasonsanjose	1	330	tvoliter, jasonsanjose
adobe/brackets	86	Mon Jan 16 18:25:09 MST 2012	joelrbrandt	6	330	joelrbrandt
adobe/brackets	87	Mon Jan 16 21:08:01 MST 2012	joelrbrandt	4	330	joelrbrandt
adobe/brackets	88	Mon Jan 16 21:17:46 MST 2012	gruehle	6	330	gruehle
adobe/brackets	26	Mon Jan 16 21:18:19 MST 2012	gruehle	3	330	chrisbank, gruehle
adobe/brackets	87	Mon Jan 16 21:36:24 MST 2012	joelrbrandt	1	330	peterflynn, joelrbrandt
adobe/brackets	86	Mon Jan 16 21:37:05 MST 2012	joelrbrandt	1	330	peterflynn, joelrbrandt
adobe/brackets	79	Tue Jan 17 00:21:09 MST 2012	njx	6	330	njx
adobe/brackets	43	Tue Jan 17 17:25:59 MST 2012	peterflynn	2	330	peterflynn, chrisbank
adobe/brackets	96	Tue Jan 17 18:20:53 MST 2012	njx	3	330	njx
adobe/brackets	80	Tue Jan 17 20:39:59 MST 2012	chrisbank	2	330	chrisbank
adobe/brackets	99	Tue Jan 17 22:50:20 MST 2012	gruehle	4	330	gruehle
adobe/brackets	72	Tue Jan 17 23:00:10 MST 2012	peterflynn	3	330	peterflynn, njx
adobe/brackets	98	Tue Jan 17 23:02:25 MST 2012	peterflynn	4	330	peterflynn
adobe/brackets	100	Tue Jan 17 23:59:58 MST 2012	jasonsanjose	5	330	jasonsanjose
adobe/brackets	91	Wed Jan 18 00:45:36 MST 2012	gruehle	1	330	gruehle
adobe/brackets	53	Wed Jan 18 00:47:24 MST 2012	chrisbank	3	330	chrisbank
adobe/brackets	48	Wed Jan 18 00:48:09 MST 2012	joelrbrandt	7	330	joelrbrandt
adobe/brackets	105	Wed Jan 18 06:12:15 MST 2012	redmunds	42	330	redmunds
adobe/brackets	104	Wed Jan 18 06:16:47 MST 2012	tvoliter	7	330	tvoliter
adobe/brackets	103	Wed Jan 18 06:17:58 MST 2012	redmunds	1	330	redmunds
adobe/brackets	102	Wed Jan 18 06:29:04 MST 2012	tvoliter	5	330	tvoliter
adobe/brackets	84	Wed Jan 18 18:19:57 MST 2012	redmunds	2	330	redmunds
adobe/brackets	30	Wed Jan 18 23:04:22 MST 2012	tvoliter	2	330	peterflynn, tvoliter, njx
adobe/brackets	52	Thu Jan 19 18:12:46 MST 2012	jasonsanjose	4	330	peterflynn, jasonsanjose
adobe/brackets	77	Thu Jan 19 18:13:20 MST 2012	jasonsanjose	3	330	peterflynn, jasonsanjose
adobe/brackets	79	Thu Jan 19 18:35:15 MST 2012	redmunds	3	330	redmunds, njx
adobe/brackets	106	Thu Jan 19 18:38:49 MST 2012	njx	7	330	njx
adobe/brackets	26	Thu Jan 19 18:40:01 MST 2012	chrisbank	4	330	chrisbank, jasonsanjose, gruehle
adobe/brackets	84	Fri Jan 20 00:03:36 MST 2012	redmunds	1	330	redmunds, njx
adobe/brackets	109	Fri Jan 20 02:44:12 MST 2012	njx	1	330	njx
adobe/brackets	76	Fri Jan 20 03:10:55 MST 2012	njx	1	330	njx
adobe/brackets	111	Fri Jan 20 03:17:20 MST 2012	redmunds	6	330	redmunds
adobe/brackets	115	Fri Jan 20 03:19:09 MST 2012	jasonsanjose	5	330	jasonsanjose
adobe/brackets	109	Fri Jan 20 03:42:12 MST 2012	njx	1	330	jasonsanjose, njx
adobe/brackets	88	Fri Jan 20 18:07:36 MST 2012	gruehle	4	330	peterflynn, gruehle
adobe/brackets	76	Fri Jan 20 21:36:40 MST 2012	njx	1	330	peterflynn, njx
adobe/brackets	30	Fri Jan 20 21:41:20 MST 2012	peterflynn	1	330	peterflynn, tvoliter, chrisbank, njx
adobe/brackets	99	Fri Jan 20 23:13:34 MST 2012	peterflynn	2	330	peterflynn, gruehle
adobe/brackets	112	Fri Jan 20 23:38:49 MST 2012	joelrbrandt	8	330	joelrbrandt
adobe/brackets	112	Fri Jan 20 23:40:41 MST 2012	joelrbrandt	1	330	joelrbrandt, njx
adobe/brackets	121	Sat Jan 21 00:57:58 MST 2012	jasonsanjose	5	330	jasonsanjose
adobe/brackets	122	Sat Jan 21 01:11:31 MST 2012	peterflynn	3	330	peterflynn
