project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	6	Tue Dec 13 06:20:12 MST 2011	tvoliter	446	864	tvoliter
adobe/brackets	19	Fri Dec 16 23:26:26 MST 2011	peterflynn	253	864	peterflynn
adobe/brackets	19	Sat Dec 17 01:54:22 MST 2011	peterflynn	1	864	peterflynn
adobe/brackets	21	Tue Dec 20 20:34:43 MST 2011	gruehle	491	864	gruehle
adobe/brackets	31	Wed Dec 21 00:06:31 MST 2011	gruehle	2	864	gruehle
adobe/brackets	32	Wed Dec 21 00:06:46 MST 2011	gruehle	1	864	gruehle
adobe/brackets	31	Wed Dec 21 01:23:36 MST 2011	gruehle	1	864	gruehle
adobe/brackets	29	Wed Dec 21 01:29:42 MST 2011	tvoliter	3	864	tvoliter
adobe/brackets	29	Wed Dec 21 16:07:47 MST 2011	tvoliter	1	864	tvoliter, chrisbank
adobe/brackets	32	Wed Dec 21 18:59:13 MST 2011	gruehle	1	864	gruehle
adobe/brackets	41	Wed Dec 21 23:52:50 MST 2011	tvoliter	3	864	tvoliter
adobe/brackets	18	Wed Jan 04 18:22:22 MST 2012	peterflynn	4	864	peterflynn
adobe/brackets	30	Wed Jan 04 18:23:47 MST 2012	njx	832	864	njx
adobe/brackets	30	Wed Jan 04 18:24:31 MST 2012	njx	1	864	peterflynn, njx
adobe/brackets	38	Wed Jan 04 18:26:17 MST 2012	njx	3	864	njx
adobe/brackets	26	Wed Jan 04 18:35:43 MST 2012	gruehle	3	864	gruehle
adobe/brackets	41	Wed Jan 04 18:42:45 MST 2012	tvoliter	1	864	tvoliter, chrisbank
adobe/brackets	43	Wed Jan 04 19:38:06 MST 2012	peterflynn	2	864	peterflynn
adobe/brackets	49	Sat Jan 07 00:38:31 MST 2012	gruehle	2	864	gruehle
adobe/brackets	50	Sat Jan 07 01:11:49 MST 2012	njx	5	864	njx
adobe/brackets	51	Sat Jan 07 01:40:03 MST 2012	peterflynn	5	864	peterflynn
adobe/brackets	56	Mon Jan 09 22:04:38 MST 2012	joelrbrandt	307	864	joelrbrandt
adobe/brackets	56	Mon Jan 09 22:32:52 MST 2012	joelrbrandt	1	864	gruehle, joelrbrandt
adobe/brackets	60	Tue Jan 10 19:12:30 MST 2012	gruehle	1	864	gruehle
