project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	19	Fri Dec 16 23:26:26 MST 2011	peterflynn	56	864	peterflynn
adobe/brackets	19	Sat Dec 17 01:54:22 MST 2011	peterflynn	1	864	peterflynn
adobe/brackets	18	Wed Jan 04 18:22:22 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	30	Wed Jan 04 18:23:47 MST 2012	njx	15	864	njx
adobe/brackets	30	Wed Jan 04 18:24:31 MST 2012	njx	1	864	peterflynn, njx
adobe/brackets	38	Wed Jan 04 18:26:17 MST 2012	njx	2	864	njx
adobe/brackets	43	Wed Jan 04 19:38:06 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	50	Sat Jan 07 01:11:49 MST 2012	njx	2	864	njx
adobe/brackets	51	Sat Jan 07 01:40:03 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	63	Tue Jan 10 23:49:25 MST 2012	njx	2	864	njx
adobe/brackets	65	Wed Jan 11 01:57:37 MST 2012	jasonsanjose	437	864	jasonsanjose
adobe/brackets	52	Wed Jan 11 02:06:56 MST 2012	jasonsanjose	3	864	jasonsanjose
adobe/brackets	67	Wed Jan 11 03:00:17 MST 2012	njx	2	864	njx
adobe/brackets	68	Wed Jan 11 03:01:01 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	68	Wed Jan 11 18:13:08 MST 2012	peterflynn	1	864	peterflynn, njx
adobe/brackets	72	Wed Jan 11 23:12:01 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	63	Wed Jan 11 23:41:04 MST 2012	njx	1	864	njx
adobe/brackets	67	Thu Jan 12 00:37:01 MST 2012	njx	1	864	njx
adobe/brackets	49	Thu Jan 12 00:40:09 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	60	Thu Jan 12 21:15:09 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	77	Fri Jan 13 18:30:00 MST 2012	jasonsanjose	3	864	jasonsanjose
adobe/brackets	65	Fri Jan 13 23:20:58 MST 2012	jasonsanjose	1	864	jasonsanjose
adobe/brackets	85	Sat Jan 14 00:21:16 MST 2012	jasonsanjose	3	864	jasonsanjose
adobe/brackets	64	Mon Jan 16 18:43:26 MST 2012	njx	2	864	njx
adobe/brackets	87	Mon Jan 16 21:36:24 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	86	Mon Jan 16 21:37:05 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	87	Mon Jan 16 23:08:13 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	86	Mon Jan 16 23:09:46 MST 2012	peterflynn	1	864	peterflynn
adobe/brackets	79	Tue Jan 17 00:21:09 MST 2012	njx	2	864	njx
adobe/brackets	96	Tue Jan 17 18:20:53 MST 2012	njx	2	864	njx
adobe/brackets	43	Tue Jan 17 19:42:51 MST 2012	peterflynn	1	864	peterflynn, jasonsanjose
adobe/brackets	80	Tue Jan 17 20:40:27 MST 2012	jasonsanjose	3	864	jasonsanjose
