project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	148	Mon Jan 30 22:39:20 MST 2012	njx	250	310	njx
adobe/brackets	283	Sat Mar 10 00:30:49 MST 2012	peterflynn	307	310	peterflynn
adobe/brackets	426	Thu Mar 15 22:56:03 MDT 2012	peterflynn	1	310	peterflynn
adobe/brackets	852	Sun May 13 06:09:39 MDT 2012	ryanstewart	103	310	ryanstewart
adobe/brackets	852	Tue May 15 21:55:00 MDT 2012	ryanstewart	1	310	ryanstewart
adobe/brackets	852	Mon May 21 18:44:54 MDT 2012	ryanstewart	1	310	jasonsanjose, ryanstewart
adobe/brackets	971	Tue Jun 12 21:13:20 MDT 2012	gruehle	41	310	gruehle
adobe/brackets	971	Wed Jun 13 18:11:21 MDT 2012	gruehle	1	310	tvoliter, gruehle
adobe/brackets	971	Wed Jun 13 22:57:15 MDT 2012	gruehle	1	310	peterflynn, tvoliter, gruehle
adobe/brackets	1280	Sat Jul 21 01:02:15 MDT 2012	redmunds	250	310	redmunds
adobe/brackets	1606	Wed Oct 03 11:56:02 MDT 2012	denniskehrig	95	310	denniskehrig
adobe/brackets	510	Wed Oct 03 13:25:32 MDT 2012	denniskehrig	1	310	denniskehrig
adobe/brackets	1606	Wed Oct 03 19:34:01 MDT 2012	denniskehrig	1	310	jasonsanjose, denniskehrig
adobe/brackets	1256	Thu Oct 04 13:36:48 MDT 2012	denniskehrig	1	310	denniskehrig
adobe/brackets	510	Thu Oct 04 18:19:32 MDT 2012	denniskehrig	1	310	redmunds, denniskehrig
adobe/brackets	1256	Wed Oct 10 16:08:24 MDT 2012	denniskehrig	1	310	raymondlim, denniskehrig
adobe/brackets	1526	Thu Oct 18 17:54:13 MDT 2012	jdiehl	27	310	jdiehl
adobe/brackets	510	Thu Oct 18 23:22:31 MDT 2012	denniskehrig	1	310	peterflynn, redmunds, denniskehrig
adobe/brackets	2432	Sat Dec 29 22:08:10 MST 2012	soswow	175	310	soswow
adobe/brackets	1974	Fri Jan 04 15:53:05 MST 2013	dangoor	244	310	dangoor
adobe/brackets	2432	Tue Jan 08 19:14:11 MST 2013	soswow	1	310	soswow, jasonsanjose
adobe/brackets	1974	Thu Jan 10 00:31:14 MST 2013	dangoor	1	310	jasonsanjose, dangoor
adobe/brackets	2528	Mon Jan 14 22:45:14 MST 2013	jasonsanjose	2	310	jasonsanjose
adobe/brackets	2528	Tue Jan 15 07:24:40 MST 2013	jasonsanjose	1	310	jasonsanjose, njx
adobe/brackets	277	Wed Jan 16 21:35:21 MST 2013	redmunds	3	310	redmunds
adobe/brackets	2520	Thu Jan 24 23:30:09 MST 2013	jasonsanjose	2	310	jasonsanjose
