project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	852	Mon May 21 21:19:36 MDT 2012	jrowny	221	309	jrowny
adobe/brackets	971	Wed Jun 13 13:03:45 MDT 2012	jrowny	1	309	jrowny
adobe/brackets	971	Sun Jun 17 20:30:33 MDT 2012	jrowny	1	309	jrowny, mikechambers
adobe/brackets	1974	Thu Jan 10 05:29:20 MST 2013	johnko	165	309	johnko
adobe/brackets	2528	Tue Jan 15 18:16:31 MST 2013	johnko	1	309	johnko
adobe/brackets	11416	Tue Oct 18 16:55:23 MDT 2016	petetnt	260	309	petetnt
angular/angular.js	40	Wed Apr 20 18:07:07 MDT 2011	groner	1367	1533	groner
angular/angular.js	85	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	152	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	153	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	159	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	169	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	170	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	189	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	217	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	224	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	242	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	260	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	276	Wed Apr 20 18:07:07 MDT 2011	groner	1	1533	groner
angular/angular.js	98	Mon Sep 05 13:10:08 MDT 2011	groner	1	1533	groner
angular/angular.js	119	Mon Sep 05 13:10:08 MDT 2011	groner	1	1533	groner
angular/angular.js	51	Mon Sep 05 13:10:09 MDT 2011	groner	1	1533	groner
angular/angular.js	123	Mon Sep 05 13:10:10 MDT 2011	groner	1	1533	groner
angular/angular.js	134	Mon Sep 05 13:10:10 MDT 2011	groner	1	1533	groner
angular/angular.js	492	Thu Sep 08 21:28:59 MDT 2011	vojtajina	885	1533	vojtajina
angular/angular.js	571	Wed Oct 05 18:02:01 MDT 2011	igorminar	667	1533	igorminar
angular/angular.js	580	Sat Oct 08 16:01:48 MDT 2011	igorminar	2	1533	igorminar
angular/angular.js	648	Tue Nov 15 04:38:32 MST 2011	mhevery	72	1533	mhevery
angular/angular.js	693	Fri Jan 06 20:19:48 MST 2012	igorminar	2	1533	igorminar
angular/angular.js	702	Wed Jan 11 06:27:11 MST 2012	mhevery	4	1533	mhevery
angular/angular.js	784	Tue Mar 20 20:06:01 MDT 2012	vojtajina	4	1533	vojtajina
angular/angular.js	807	Tue Mar 20 20:06:01 MDT 2012	vojtajina	4	1533	vojtajina
angular/angular.js	869	Thu Apr 12 00:30:10 MDT 2012	igorminar	3	1533	igorminar
angular/angular.js	877	Fri Apr 20 19:31:28 MDT 2012	igorminar	2	1533	igorminar
angular/angular.js	912	Tue May 22 21:22:12 MDT 2012	igorminar	2	1533	igorminar
angular/angular.js	979	Wed May 23 23:37:50 MDT 2012	igorminar	2	1533	igorminar
angular/angular.js	1037	Tue Jun 12 07:31:13 MDT 2012	igorminar	3	1533	igorminar
angular/angular.js	1037	Wed Jun 13 18:02:39 MDT 2012	igorminar	1	1533	igorminar
angular/angular.js	1051	Fri Jun 15 21:21:54 MDT 2012	btford	1498	1533	btford
angular/angular.js	736	Thu Sep 06 23:08:04 MDT 2012	mhevery	4	1533	mhevery
angular/angular.js	875	Thu Sep 06 23:08:04 MDT 2012	mhevery	5	1533	mhevery
angular/angular.js	933	Thu Sep 06 23:08:04 MDT 2012	mhevery	4	1533	mhevery
angular/angular.js	988	Thu Sep 06 23:08:04 MDT 2012	mhevery	4	1533	mhevery
angular/angular.js	1016	Thu Sep 06 23:08:04 MDT 2012	mhevery	4	1533	mhevery
angular/angular.js	1076	Thu Sep 06 23:08:04 MDT 2012	mhevery	4	1533	mhevery
angular/angular.js	1095	Wed Sep 12 06:12:01 MDT 2012	mhevery	2	1533	mhevery
angular/angular.js	1469	Fri Oct 26 15:51:36 MDT 2012	mhevery	2	1533	mhevery
angular/angular.js	1020	Wed Oct 31 20:58:28 MDT 2012	igorminar	2	1533	igorminar
angular/angular.js	1004	Mon Nov 26 22:47:42 MST 2012	igorminar	2	1533	igorminar
angular/angular.js	1096	Mon Nov 26 23:05:37 MST 2012	igorminar	2	1533	igorminar
angular/angular.js	1403	Fri Nov 30 22:03:10 MST 2012	pkozlowski-opensource	612	1533	pkozlowski-opensource
angular/angular.js	1452	Sat Dec 01 17:43:03 MST 2012	pkozlowski-opensource	6	1533	pkozlowski-opensource
angular/angular.js	1516	Thu Dec 06 20:29:33 MST 2012	pkozlowski-opensource	5	1533	pkozlowski-opensource
angular/angular.js	1243	Sun Dec 09 16:17:52 MST 2012	pkozlowski-opensource	4	1533	pkozlowski-opensource
angular/angular.js	1501	Fri Dec 14 00:15:29 MST 2012	igorminar	2	1533	igorminar
angular/angular.js	1035	Tue Dec 18 21:58:27 MST 2012	pkozlowski-opensource	5	1533	pkozlowski-opensource
angular/angular.js	653	Wed Dec 19 19:14:16 MST 2012	pkozlowski-opensource	4	1533	pkozlowski-opensource
angular/angular.js	1245	Thu Dec 20 19:41:08 MST 2012	pkozlowski-opensource	4	1533	pkozlowski-opensource
angular/angular.js	1693	Thu Jan 03 19:50:13 MST 2013	pkozlowski-opensource	3	1533	pkozlowski-opensource
angular/angular.js	1799	Sun Jan 13 10:08:34 MST 2013	petebacondarwin	1394	1533	petebacondarwin
angular/angular.js	908	Fri Jan 18 07:09:16 MST 2013	mhevery	3	1533	mhevery
angular/angular.js	1621	Fri Jan 18 08:03:51 MST 2013	igorminar	2	1533	igorminar
angular/angular.js	1261	Thu Feb 07 09:33:06 MST 2013	igorminar	4	1533	igorminar
angular/angular.js	1532	Thu Feb 07 09:33:06 MST 2013	igorminar	1	1533	igorminar
angular/angular.js	1191	Thu Feb 07 10:37:08 MST 2013	igorminar	2	1533	igorminar
angular/angular.js	1074	Fri Feb 15 03:55:56 MST 2013	igorminar	2	1533	igorminar
angular/angular.js	1637	Tue Feb 19 04:28:22 MST 2013	igorminar	2	1533	igorminar
angular/angular.js	909	Mon Feb 25 22:31:48 MST 2013	igorminar	2	1533	igorminar
angular/angular.js	1435	Mon Feb 25 22:31:48 MST 2013	igorminar	2	1533	igorminar
angular/angular.js	1467	Tue Feb 26 07:56:08 MST 2013	igorminar	1	1533	igorminar
angular/angular.js	199	Wed Mar 06 07:03:18 MST 2013	igorminar	1	1533	igorminar
angular/angular.js	2112	Sat Mar 16 04:20:23 MDT 2013	mhevery	3	1533	mhevery
angular/angular.js	1437	Tue Apr 16 21:49:53 MDT 2013	vojtajina	5	1533	vojtajina
angular/angular.js	1462	Wed Apr 17 20:20:48 MDT 2013	petebacondarwin	7	1533	petebacondarwin
angular/angular.js	1811	Mon Apr 29 17:28:28 MDT 2013	petebacondarwin	6	1533	petebacondarwin
angular/angular.js	1826	Tue May 07 20:29:42 MDT 2013	petebacondarwin	5	1533	petebacondarwin
angular/angular.js	1918	Wed May 08 09:04:35 MDT 2013	petebacondarwin	5	1533	petebacondarwin
angular/angular.js	2219	Wed Jul 03 22:53:08 MDT 2013	petebacondarwin	5	1533	petebacondarwin
angular/angular.js	2890	Thu Jul 11 20:14:02 MDT 2013	pkozlowski-opensource	3	1533	pkozlowski-opensource
angular/angular.js	2685	Sun Jul 14 05:24:42 MDT 2013	igorminar	1	1533	igorminar
angular/angular.js	1277	Thu Jul 18 17:25:40 MDT 2013	pkozlowski-opensource	3	1533	pkozlowski-opensource
angular/angular.js	1417	Wed Jul 24 17:38:19 MDT 2013	igorminar	1	1533	igorminar
angular/angular.js	2787	Wed Jul 24 21:22:33 MDT 2013	igorminar	1	1533	igorminar
angular/angular.js	1827	Wed Jul 31 23:22:30 MDT 2013	chirayuk	410	1533	chirayuk
angular/angular.js	3482	Fri Aug 09 04:53:57 MDT 2013	igorminar	1	1533	igorminar
angular/angular.js	3493	Fri Aug 09 04:53:57 MDT 2013	igorminar	1	1533	igorminar
angular/angular.js	3473	Fri Aug 09 06:30:20 MDT 2013	igorminar	1	1533	igorminar
angular/angular.js	2048	Fri Aug 09 16:03:25 MDT 2013	igorminar	1	1533	igorminar
angular/angular.js	3503	Thu Aug 15 22:16:08 MDT 2013	vojtajina	7	1533	vojtajina
angular/angular.js	2797	Thu Aug 15 22:50:54 MDT 2013	vojtajina	6	1533	vojtajina
angular/angular.js	3633	Wed Aug 21 08:38:57 MDT 2013	igorminar	1	1533	igorminar
angular/angular.js	3587	Fri Aug 23 21:04:42 MDT 2013	mhevery	2	1533	mhevery
angular/angular.js	3613	Fri Aug 23 21:04:42 MDT 2013	mhevery	3	1533	mhevery
angular/angular.js	4028	Thu Sep 26 18:20:08 MDT 2013	mhevery	2	1533	mhevery
angular/angular.js	4170	Thu Sep 26 21:09:59 MDT 2013	petebacondarwin	5	1533	petebacondarwin
angular/angular.js	1705	Sat Sep 28 00:05:21 MDT 2013	btford	8	1533	btford
angular/angular.js	3950	Mon Sep 30 16:06:28 MDT 2013	matsko	1494	1533	matsko
angular/angular.js	4036	Tue Oct 01 09:26:54 MDT 2013	petebacondarwin	6	1533	petebacondarwin
angular/angular.js	3548	Wed Oct 02 18:11:01 MDT 2013	btford	7	1533	btford
angular/angular.js	2594	Mon Oct 07 23:48:06 MDT 2013	vojtajina	4	1533	vojtajina
