 	 	project:	ALL	ALL	#ofBugs:	93016	#ofCommunityMembers:	75 - 4079						project:	adobe/brackets	2935735	#ofAssignments:	10462	#ofCommunityMembers:	864					project:	angular/angular.js	460078	#ofAssignments:	9658	#ofCommunityMembers:	2386					project:	elastic/elasticsearch	507775	#ofAssignments:	16184	#ofCommunityMembers:	1262					project:	fog/fog	203666	#ofAssignments:	1327	#ofCommunityMembers:	770					project:	html5rocks/www.html5rocks.com	5238231	#ofAssignments:	998	#ofCommunityMembers:	159					project:	julialang/julia	1644196	#ofAssignments:	12748	#ofCommunityMembers:	831					project:	khan/khan-exercises	1723225	#ofAssignments:	857	#ofCommunityMembers:	206					project:	lift/framework	1295197	#ofAssignments:	566	#ofCommunityMembers:	75					project:	rails/rails	8514	#ofAssignments:	11305	#ofCommunityMembers:	4079					project:	saltstack/salt	1390248	#ofAssignments:	15533	#ofCommunityMembers:	2283					project:	travis-ci/travis-ci	1420493	#ofAssignments:	6334	#ofCommunityMembers:	1159					project:	tryghost/ghost	9852918	#ofAssignments:	6142	#ofCommunityMembers:	473					project:	yui/yui3	85670	#ofAssignments:	902	#ofCommunityMembers:	175				
Experiment title	TIME	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	Any comments for the experiment	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10
1- (bTDmL - bTDmL - w__+TF_F_T+IDF_fre+pri+tL_b+r2 - 3tP) - 20170619_174725	13.9Sec	0.58257	54.47196	43.60987	78.43788	88.42574	43.60987	34.17928	19.54836	72.82301	11.6293	85.99406	-	0.56441	52.4501	40.87173	78.03479	89.06519	40.87173	30.96221	19.7878	72.0412	11.94036	86.53763	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.69367	68.03713	60.96458	79.35192	82.21552	60.96458	56.48706	17.40769	77.81964	9.11831	81.19819	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.65764	60.04045	53.53357	83.74558	91.16608	53.53357	41.34276	20.14134	75.55948	11.76678	87.19081	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2- (bTDmL - bTDmL+c - w__+TF_F_T+IDF_fre+pri+tL_b+r2 - 3tP) - 20170619_175005	16Sec	0.59333	55.63511	44.53258	79.82193	88.91947	44.53258	35.0058	19.89316	74.33522	11.6811	86.50911	-	0.57638	53.67902	42.04741	79.38253	89.45708	42.04741	31.88412	20.13382	73.53151	11.98719	86.97381	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.70661	69.3418	62.09495	80.85908	83.27054	62.09495	57.65511	17.70912	79.32052	9.23135	82.316	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.64102	59.65596	49.29329	85.51237	92.22615	49.29329	39.60542	20.56537	77.50294	11.76678	87.75029	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
--------------------------------																																																																																																																																																												
Testing tf-idf (to compare our approach against):																																																																																																																																																												
3- (bTDmL - bTDmL - OrigTFIDF+w__+TF_F_T+IDF_fre+pri+tL_b+r2 - 3tP) - 20171219_115451	48.5Sec	0.40816	38.1442	23.15662	63.86888	78.29219	23.15662	18.046	15.47875	57.4824	10.10846	74.40281	-	0.37451	34.70252	19.15504	61.15465	77.2988	19.15504	14.062	14.99331	54.163	10.13955	72.93985	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.62197	60.57678	50.64054	77.7694	80.78372	50.64054	46.74077	16.97061	75.8415	9.02788	79.96734	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.52885	49.16679	32.68551	81.44876	90.81272	32.68551	24.41107	20.95406	75.79505	12.06714	88.39812	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4- (bTDmL - bTDmL - OrigTFIDF+w__+TF_F_T+IDF_fre+pri+tL_b+r2 - 13mP) - 20171219_115830	368.2Sec	0.42929	40.51744	28.15322	60.55732	75.82351	28.15322	24.37077	13.38759	56.20633	8.67636	72.59142	-	0.37451	34.70233	19.15504	61.15465	77.2988	19.15504	14.062	14.99331	54.163	10.13955	72.93985	0.38731	37.2063	22.05426	60.32305	81.10375	22.05426	19.69697	12.82046	56.70342	9.00393	79.02085	0.39923	37.9502	25.28423	55.69698	72.96713	25.28423	22.91564	11.68067	52.53337	7.75272	70.18763	0.62198	60.59131	50.64054	77.7694	80.78372	50.64054	46.74077	16.97061	75.8415	9.03542	80.00502	0.629	59.86079	46.29259	83.06613	91.88377	46.29259	39.27856	19.75952	78.84102	11.50301	90.93186	0.47235	45.3235	33.79354	62.1823	76.36492	33.79354	30.9846	13.34798	58.71575	8.42093	73.45531	0.42913	41.78956	25.78763	68.26138	85.06418	25.78763	22.34539	15.6126	66.27771	9.82497	84.34461	0.52776	49.05949	32.68551	81.27208	90.63604	32.68551	24.41107	20.91873	75.61837	12.04947	88.22144	0.34515	32.20658	21.79567	46.9969	62.29102	21.79567	19.70146	9.85051	42.53457	6.70588	57.71945	0.37975	35.22113	20.88457	58.91328	76.06386	20.88457	16.73555	13.16681	53.50115	8.82637	71.66098	0.53648	52.6298	41.34828	71.20303	77.23398	41.34828	39.56294	14.90685	69.83081	8.18282	76.37749	0.6462	58.32806	55.42169	75.26864	86.84468	55.42169	42.73689	18.37838	68.23185	11.24389	83.30701	0.55692	53.08861	42.35033	73.17073	83.14856	42.35033	37.37435	16.34146	69.71729	9.61197	81.31929
--------------------------------																																																																																																																																																												
Main run:																																																																																																																																																												
5- (bTDmL - bTDmL - +w__+TF_F_T+IDF_fre+pri+tL_b+r2 - 13mP) - 20171220_082713	138.1Sec	0.59175	56.51995	46.98654	75.22684	83.66088	46.98654	40.82821	17.15361	71.74784	9.80756	81.62807	-	0.56442	52.45137	40.87173	78.03479	89.06519	40.87173	30.96221	19.7878	72.0412	11.94036	86.53763	0.60332	58.13213	46.46925	79.87161	86.18762	46.46925	42.36039	17.32036	76.96901	9.61897	84.56634	0.59321	56.9225	47.61493	73.9743	84.70712	47.61493	43.74691	15.64632	70.8529	9.10282	82.29115	0.6936	68.02921	60.96458	79.35192	82.21552	60.96458	56.48706	17.40769	77.81964	9.11831	81.19819	0.75792	71.45033	66.63327	87.17435	92.68537	66.63327	56.57983	20.32064	82.23948	11.49299	91.27422	0.57444	55.45196	45.66991	71.7995	81.01663	45.66991	40.48805	16.15469	69.23504	9.27204	79.50986	0.68595	66.96048	57.1762	85.41424	89.26488	57.1762	51.65305	19.50992	84.28627	10.28005	88.72034	0.6584	60.11581	53.53357	83.92226	91.34276	53.53357	41.34276	20.17668	75.73616	11.78445	87.36749	0.53831	50.8186	41.42415	69.90712	78.69084	41.42415	36.13106	15.43211	65.88737	8.90226	75.72593	0.55847	53.01407	43.28204	72.63246	81.14337	43.28204	36.23382	17.045	68.64428	9.83905	78.83678	0.64995	63.75203	57.46763	74.7395	78.08652	57.46763	55.07447	15.64572	73.43043	8.25387	77.16951	0.70274	66.91574	59.39433	85.26539	91.66395	59.39433	45.79779	22.30544	82.23136	12.26799	90.6214	0.61642	58.94872	50.11086	75.83149	84.81153	50.11086	44.33112	16.91796	72.74945	9.72284	82.99335
